type_name,sub_type_of,is_core
low visitor numbers,,TRUE
financial,,TRUE
loss of premises,,TRUE
life events,,TRUE
strategic closure,,TRUE
building,,TRUE
collections,,TRUE
restructure of host organisation,,TRUE
unknown,,TRUE
destruction,,TRUE
other,,TRUE
dispute,,TRUE
staff,,TRUE
low visitor numbers - other,low visitor numbers,FALSE
financial - funding cut,financial,FALSE
loss of premises - change of use,loss of premises,FALSE
loss of premises - redevelopment,loss of premises,FALSE
financial - costs,financial,FALSE
life events - retirement,life events,FALSE
strategic closure - replacement museum,strategic closure,FALSE
life events - owner moved house,life events,FALSE
life events - death,life events,FALSE
building - other,building,FALSE
building - condition of building,building,FALSE
collections - collection damaged,collections,FALSE
building - health and safety,building,FALSE
building - unsuitable,building,FALSE
restructure of host organisation - relocation,restructure of host organisation,FALSE
loss of premises - other,loss of premises,FALSE
strategic closure - amalgamation,strategic closure,FALSE
unknown - other,unknown,FALSE
destruction - building destroyed,destruction,FALSE
financial - insolvency,financial,FALSE
life events - illness,life events,FALSE
loss of premises - sold,loss of premises,FALSE
other - unwanted by heritage organisations,other,FALSE
other - other,other,FALSE
dispute - disagreement,dispute,FALSE
staff - insufficient staff,staff,FALSE
strategic closure - seeking new premises,strategic closure,FALSE
loss of premises - legal,loss of premises,FALSE
financial - other,financial,FALSE
financial - mismanagement,financial,FALSE
strategic closure - premises not required,strategic closure,FALSE
other - collection not insured,other,FALSE
dispute - unable to agree lease terms,dispute,FALSE
other - location no longer suitable,other,FALSE
restructure of host organisation - change in corporate priorities,restructure of host organisation,FALSE
building - building maintenance issues,building,FALSE
restructure of host organisation - local authority reorganisation,restructure of host organisation,FALSE
other - reverted to private use,other,FALSE
life events - too much work,life events,FALSE
restructure of host organisation - co-occupant leaves,restructure of host organisation,FALSE
strategic closure - other,strategic closure,FALSE
collections - theft,collections,FALSE
life events - imprisonment of owner,life events,FALSE
financial - recession,financial,FALSE
other - change of management within local authority,other,FALSE
collections - lender requested return of loans,collections,FALSE
other - already running another museum,other,FALSE
life events - divorce,life events,FALSE
other - nearby businesses closed,other,FALSE
life events - too far away for owners,life events,FALSE
life events - owner's age,life events,FALSE
other - return of management to local authority,other,FALSE
collections - collection repurposed,collections,FALSE
staff - area unsafe for staff,staff,FALSE
restructure of host organisation - regimental reorganisation,restructure of host organisation,FALSE
other - loss of perceived value,other,FALSE
dispute - access refused by host organisation,dispute,FALSE
other - never fully established as a museum,other,FALSE
other - associated business sold,other,FALSE
financial - managing trust disposing of liabilities,financial,FALSE
life events - owners fell out,life events,FALSE
restructure of host organisation - merger of fire services,restructure of host organisation,FALSE
building - building ownership changed,building,FALSE
low visitor numbers - other - other,low visitor numbers - other,FALSE
financial - funding cut - external funding cut,financial - funding cut,FALSE
loss of premises - change of use - space repurposed,loss of premises - change of use,FALSE
loss of premises - redevelopment - redevelopment of site,loss of premises - redevelopment,FALSE
financial - funding cut - local authority funding cut,financial - funding cut,FALSE
financial - costs - other,financial - costs,FALSE
life events - retirement - retirement of owner,life events - retirement,FALSE
strategic closure - replacement museum - other,strategic closure - replacement museum,FALSE
loss of premises - change of use - other,loss of premises - change of use,FALSE
life events - owner moved house - other,life events - owner moved house,FALSE
life events - death - death of owner,life events - death,FALSE
