museum_id,visitor_count,year,source
mm.Mus70Cal.027,31441,2002,Scottish National Audit
mm.ace.019,75442,2016,mm.ace.019
mm.ace.022,31000,2010,MA(fam)
mm.ace.023,45341,2011,VisitBritain
mm.ace.023,48767,2012,VisitBritain
mm.ace.023,53280,2013,VisitBritain
mm.ace.023,51768,2014,VisitBritain
mm.ace.023,44214,2015,VisitBritain
mm.ace.023,49894,2016,mm.ace.023
mm.ace.036,1500,2010,MA(fam)
mm.ace.036,1341,2016,mm.ace.036
mm.ace.042,38635,2016,mm.ace.042
mm.ace.045,32607,2013,MA(fam)
mm.ace.1085,54945,2011,VisitBritain
mm.ace.1085,50427,2012,VisitBritain
mm.ace.1085,46436,2013,VisitBritain
mm.ace.1085,53026,2014,VisitBritain
mm.ace.1085,53380,2015,VisitBritain
mm.ace.1085,54045,2016,National Trust Annual Report
mm.ace.1085,54045,2016,"National Trust Annual Report, 2016/2099"
mm.ace.1086,167505,2011,VisitBritain
mm.ace.1086,175951,2012,VisitBritain
mm.ace.1086,196772,2013,VisitBritain
mm.ace.1086,188128,2014,VisitBritain
mm.ace.1086,198217,2015,VisitBritain
mm.ace.1086,224281,2016,National Trust Annual Report
mm.ace.1086,224281,2016,"National Trust Annual Report, 2016/2035"
mm.ace.1087,119878,2011,VisitBritain
mm.ace.1087,118872,2012,VisitBritain
mm.ace.1087,119074,2013,VisitBritain
mm.ace.1087,135492,2014,VisitBritain
mm.ace.1087,162596,2015,VisitBritain
mm.ace.1087,184459,2016,"National Trust Annual Report, 2016/2041"
mm.ace.1089,74202,2011,VisitBritain
mm.ace.1089,67420,2012,VisitBritain
mm.ace.1089,65239,2013,VisitBritain
mm.ace.1089,74100,2014,VisitBritain
mm.ace.1089,80100,2015,VisitBritain
mm.ace.1089,92551,2016,National Trust Annual Report
mm.ace.1089,92551,2016,"National Trust Annual Report, 2016/2083"
mm.ace.1090,103768,2011,VisitBritain
mm.ace.1090,86497,2012,VisitBritain
mm.ace.1090,104656,2013,VisitBritain
mm.ace.1090,101661,2014,VisitBritain
mm.ace.1090,111822,2015,VisitBritain
mm.ace.1090,106058,2016,National Trust Annual Report
mm.ace.1090,106058,2016,"National Trust Annual Report, 2016/2076"
mm.ace.1091,88004,2011,VisitBritain
mm.ace.1091,76000,2012,VisitBritain
mm.ace.1091,73441,2013,VisitBritain
mm.ace.1091,76194,2014,VisitBritain
mm.ace.1091,95981,2015,VisitBritain
mm.ace.1091,102595,2016,National Trust Annual Report
mm.ace.1091,102595,2016,"National Trust Annual Report, 2016/2078"
mm.ace.1092,144860,2011,VisitBritain
mm.ace.1092,149133,2012,VisitBritain
mm.ace.1092,165000,2013,VisitBritain
mm.ace.1092,187524,2014,VisitBritain
mm.ace.1092,201557,2015,VisitBritain
mm.ace.1092,206516,2016,National Trust Annual Report
mm.ace.1092,206516,2016,"National Trust Annual Report, 2016/2037"
mm.ace.1093,72000,2011,VisitBritain
mm.ace.1093,73000,2012,VisitBritain
mm.ace.1093,77000,2013,VisitBritain
