postcode,latitude,longitude
JE2 3NW,49.176217,-2.125168
JE2 3SD,49.181941,-2.1136469
JE2 3NF,49.18251,-2.10774
JE2 3ND,49.18485,-2.10588
JE2 7LA,49.190295,-2.095704
JE3 9HQ,49.200396,-2.064065
JE3 2ES,49.22077,-2.10712
JE3 5JN,49.22077,-2.10712
JE3 8JA,49.22077,-2.10712
JE3 6DR,49.22077,-2.10712
JE3 7AF,49.22077,-2.10712
JE3 7AG,49.22077,-2.10712
JE3 5BE,49.22077,-2.10712
JE3 1FU,49.22077,-2.10712
JE3 2FN,49.22077,-2.10712
JE3 1HS,49.22466,-2.13591
GY8 0BG,49.427792,-2.63485
GY4 6SG,49.43585,-2.545
GY7 9BY,49.439301,-2.655076
GY1 1AX,49.4491,-2.53264
GY1 1DG,49.45091,-2.53822
GY1 6JN,49.453035,-2.526571
GY1 6JN,49.453036,-2.526595
GY1 6JN,49.453036,-2.526595
GY1 2NZ,49.45669,-2.53904
GY5 7LS,49.45829,-2.60436
GY5 7LS,49.45829,-2.60436
GY1 1UG,49.45887,-2.54145
GY5 7UJ,49.469051,-2.57857
GY5 7RZ,49.47297,-2.58456
GY9 3TG,49.71378,-2.20425
IM9 1AX,54.05506,-4.62335
IM9 1RE,54.06423,-4.62302
IM9 5PX,54.07089,-4.7731
IM9 1LD,54.07366,-4.65152
IM9 1AN,54.07714,-4.65422
IM9 6AE,54.08511,-4.757949
IM9 2AT,54.09205,-4.62889
IM9 6HD,54.10365,-4.75313
IM4 1EN,54.12059,-4.58109
IM1 3LY,54.14928,-4.49273
IM1 3LY,54.14928,-4.49273
IM1 3LY,54.14928,-4.49273
IM2 4NR,54.167282,-4.456689
IM5 1AR,54.2256,-4.68373
IM4 7NL,54.24323,-4.42475
IM8 3UA,54.31449,-4.39513
IM7 3BD,54.36318,-4.52867
GY1 6JN,49.453333,-2.526667
