museum_id,outcome_main_event,outcome_main_recipient
mm.MDN.005,mixed,mostly museum
mm.MDN.029,mostly stored,mostly NA
mm.MDN.031,mixed,mixed
mm.MDN.032,mostly transferred,mostly museum
mm.MDN.034,mostly transferred,mixed
mm.Mus70Cal.005,mostly transferred,mostly museum
mm.Mus70Cal.010,mostly sold,mostly trader
mm.Mus70Cal.011,mostly stored,mostly NA
mm.Mus70Cal.015,mostly transferred,mostly museum
mm.New.104,mostly stored,mostly NA
mm.New.140,mostly sold,mostly unknown
mm.New.147,mostly sold,mostly unknown
mm.New.154,mostly moved,mixed
mm.New.165,mostly sold,mostly unknown
mm.New.168,mostly transferred,mostly civic organisation
mm.New.172,mixed,mixed
mm.New.202,mostly sold,mostly unknown
mm.New.203,mixed,mostly trader
mm.New.211,mostly transferred,mostly museum
mm.New.213,mostly stored,mostly NA
mm.New.233,mostly returned,mostly unknown
mm.New.242,mostly sold,mostly unknown
mm.New.254,mixed,mixed
mm.New.27,mostly transferred,mostly museum
mm.New.28,mostly sold,mostly individual
mm.New.58,mostly stored,mostly NA
mm.New.69,mostly sold,mostly unknown
mm.New.81,mostly moved,mixed
mm.New.83,mixed,mixed
mm.New.87,mostly moved,mostly museum
mm.New.96,mostly moved,mostly museum
mm.ace.1103,mostly transferred,mostly museum
mm.ace.1167,mostly transferred,mixed
mm.ace.1193,mostly transferred,mostly civic organisation
mm.ace.1240,mostly stored,mostly NA
mm.ace.1270,mostly stored,mostly NA
mm.ace.399,mostly stored,mostly NA
mm.aim.0052,mostly transferred,mostly museum/library/archive
mm.aim.0062,mostly sold,mostly unknown
mm.aim.0126,mostly moved,mostly museum
mm.aim.0127,mostly stored,mostly NA
mm.aim.0129,mixed,mixed
mm.aim.0150,mostly sold,mostly unknown
mm.aim.0158,mixed,mixed
mm.aim.0215,mostly stored,mostly NA
mm.aim.0431,mostly stored,mostly NA
mm.aim.0456,mixed,mostly NA
mm.aim.0484,mixed,mostly unknown
mm.aim.0486,mostly transferred,mostly museum
mm.aim.0528,mostly sold,mostly individual
mm.aim.0557,mostly stored,mostly NA
mm.aim.0651,mostly transferred,mostly museum
mm.aim.0658,mostly stored,mostly NA
mm.aim.0663,mostly kept,mostly NA
mm.aim.0754,mostly stored,mostly NA
mm.aim.0774,mostly stored,mostly NA
mm.aim.0779,mostly returned,mostly unknown
mm.aim.0881,mostly transferred,mixed
mm.aim.0936,mostly sold,mostly unknown
mm.aim.0956,mostly sold,mostly trader
mm.aim.1001,mixed,mixed
mm.aim.1031,mostly stored,mostly NA
mm.aim.1082,mostly stored,mostly NA
mm.aim.1121,mostly sold,mostly unknown
mm.aim.1136,mostly stored,mostly NA
mm.aim.1166,mixed,mixed
mm.aim.1169,mostly transferred,mixed
mm.aim.1194,mostly sold,mostly unknown
mm.aim.1217,mostly sold,mostly unknown
mm.aim.1281,mostly returned,mixed
mm.aim82M.002,mostly sold,mostly unknown
mm.aim82M.004,mostly sold,mostly unknown
mm.aim82M.029,mostly sold,mostly unknown
mm.aim82M.033,mostly returned,mixed
mm.aim82M.049,mostly sold,mostly unknown
mm.aim82M.051,mostly sold,mostly unknown
mm.aim82M.052,mixed,mixed
mm.aim82M.066,mostly sold,mostly unknown
mm.aim82M.068,mostly kept,mostly NA
mm.aim82NM.005,mostly sold,mostly individual
mm.aim82NM.027,mostly transferred,mostly unknown
mm.aim82NM.028,mostly transferred,mostly museum
mm.aim82NM.029,mixed,mostly museum
mm.aim82NM.045,mostly sold,mostly unknown
mm.aim82NM.051,mostly transferred,mostly museum
mm.aim82NM.052,mostly sold,mostly trader
mm.aim82NM.061,mostly sold,mostly individual
mm.aim82NM.064,mostly sold,mostly unknown
mm.aim82NM.066,mostly sold,mostly unknown
mm.aim82NM.072,mostly stored,mostly NA
mm.aim82NM.075,mostly sold,mostly trader
mm.aim82NM.077,mixed,mixed
mm.aim82NM.079,mostly returned,mixed
mm.aim82NM.082,mixed,mixed
mm.aim82NM.083,mostly sold,mostly trader
mm.aim82NM.091,mostly sold,mostly museum
mm.aim82NM.100,mixed,mixed
mm.aim82NM.101,mostly kept,mostly NA
mm.aim82NM.103,mostly transferred,mostly museum
mm.aim82NM.104,mostly stored,mostly NA
mm.aim82NM.119,mostly transferred,mostly museum
mm.aim82NM.122,mostly sold,mixed
mm.aim82NM.133,mixed,mixed
mm.domus.EM020,mostly left,mostly NA
mm.domus.EM030,mostly stored,mostly NA
mm.domus.EM046,mostly transferred,mostly museum
mm.domus.EM047,mostly transferred,mostly museum
mm.domus.EM053,mostly stored,mostly NA
mm.domus.EM054,mostly transferred,mostly museum
mm.domus.EM060,mixed,mixed
mm.domus.EM065,mostly moved,mostly civic organisation
mm.domus.EM075,mostly stored,mostly NA
mm.domus.EM100,mostly transferred,mostly museum
mm.domus.NE007,mostly left,mostly NA
mm.domus.NE009,mostly transferred,mostly museum
mm.domus.NE015,mostly stored,mostly NA
mm.domus.NE018,mostly stored,mostly NA
mm.domus.NE022,mostly stored,mostly NA
mm.domus.NE027,mostly stored,mostly NA
mm.domus.NE036,mostly transferred,mostly museum
mm.domus.NE044,mostly transferred,mostly museum
mm.domus.NE055,mostly transferred,mostly museum
mm.domus.NE058,mostly transferred,mostly museum
mm.domus.NE063,mostly transferred,mostly museum
mm.domus.NE065,mixed,mixed
mm.domus.NI004,mixed,mostly NA
mm.domus.NI007,mostly stored,mostly NA
mm.domus.NI026,mixed,mixed
mm.domus.NI034,mostly transferred,mostly museum
mm.domus.NI035,mostly left,mostly NA
