"x","y","L1","L2","L3"
398515.8,653060.199999999,1,1,1
398253.9,652833.9,1,1,1
398507,652889.300000001,1,1,1
399257,653102.9,1,1,1
399864.2,652046.6,1,1,1
4e+05,652038.077400001,1,1,1
400565.3,652002.6,1,1,1
401149.1,650844.699999999,1,1,1
402173.0563,649696.824899999,1,1,1
402440.9259,649315.243899999,1,1,1
402562.5,648875.1,1,1,1
405175,646508.6,1,1,1
405628.8,645727.4,1,1,1
407385.1,644561.4,1,1,1
407630.9,643542.6,1,1,1
407290.6,643391.9,1,1,1
408069.3,643263.199999999,1,1,1
408018.6,642459.300000001,1,1,1
408517,641387.800000001,1,1,1
408275.4,641386,1,1,1
409598.255,640000.021199999,1,1,1
409721.4,639871,1,1,1
410103.3,639135.5,1,1,1
409746.7,639251,1,1,1
410232.1,638767.1,1,1,1
411860.6,637809.4,1,1,1
412553.4,638079.5,1,1,1
413309.3,639269.5,1,1,1
413696.9,638972.1,1,1,1
414911.4,636951.1,1,1,1
414470.5,635996.9,1,1,1
413557.4,635844.300000001,1,1,1
414059.4,635691.4,1,1,1
414648.4,634396.9,1,1,1
416327.5,636138.4,1,1,1
417060.4656,636024.318600001,1,1,1
417688.2876,635788.7104,1,1,1
417957.9,635446.9,1,1,1
419503,634770.9,1,1,1
420000.0157,634129.7996,1,1,1
421226.7,632547.5,1,1,1
422224.9861,632298.3017,1,1,1
421982.7,632194,1,1,1
422832.5,631678.6,1,1,1
422033.5,630898.300000001,1,1,1
422441.7,631225.4,1,1,1
423231.5,629614.4,1,1,1
423658.6,629395.199999999,1,1,1
423558.4,629027,1,1,1
424144.7383,628786.948799999,1,1,1
424138.7669,628783.724,1,1,1
423293.2,628568.1,1,1,1
422937,627525.1,1,1,1
423696.1,626072.5,1,1,1
424184.2,625915.6,1,1,1
424158.4935,625573.3819,1,1,1
424157.4835,625570.522600001,1,1,1
424152.2,625489.6,1,1,1
424685.6,625398.9,1,1,1
424178,624593.1,1,1,1
424502.3,624025.9,1,1,1
424467.7,622775.1,1,1,1
424754.185,622592.511499999,1,1,1
424791.8021,622537.4997,1,1,1
424893.2097,622503.9054,1,1,1
425658.9,622015.9,1,1,1
425933.4,622144,1,1,1
425914.7804,621831.840299999,1,1,1
425812.1037,621123.104599999,1,1,1
425855.1313,620831.812999999,1,1,1
425805.5142,619999.974199999,1,1,1
425804.8,619988,1,1,1
426113,618757.199999999,1,1,1
425835.6,618205.800000001,1,1,1
426267.1,617052.800000001,1,1,1
425827.5,616336.699999999,1,1,1
426212.9,615673.699999999,1,1,1
426971.9,615302.4,1,1,1
426570.9,613880.4,1,1,1
426765.9,612854.6,1,1,1
425899.1,612167.4,1,1,1
425645.7,611269.9,1,1,1
424718,610201.699999999,1,1,1
424091.9,610547.5,1,1,1
424339,610654.6,1,1,1
424368.8,610839.9,1,1,1
424262.4267,611272.0507,1,1,1
424813.2,611276.1,1,1,1
424257.7,611320.9,1,1,1
424220.3104,611265.5088,1,1,1
424308.8,610792.800000001,1,1,1
423943,610937.1,1,1,1
423952,610678.699999999,1,1,1
424517,609617.5,1,1,1
424568.5,610111.300000001,1,1,1
424904.7,610066.800000001,1,1,1
425064.8,608946.699999999,1,1,1
426190.2,605768,1,1,1
426630.3,605120.199999999,1,1,1
426977.4044,605138.148600001,1,1,1
427143.187,605092.7345,1,1,1
426613.4,604918.6,1,1,1
425820,605546.199999999,1,1,1
425950.3,605139.800000001,1,1,1
424961.7,605683.800000001,1,1,1
424826.9,606278,1,1,1
424422.6,605643.4,1,1,1
423774.1,606078.800000001,1,1,1
424428.1,605618.4,1,1,1
424816.4,606227.9,1,1,1
424897.8,605661.9,1,1,1
426490.9,604696.5,1,1,1
427246.7,605029.699999999,1,1,1
428693.4,603164.699999999,1,1,1
428683.4625,602490.6447,1,1,1
428663.6993,602471.8035,1,1,1
428682.8561,602449.5133,1,1,1
428676.4,602011.6,1,1,1
428166.3,601551.9,1,1,1
427483.6881,600000.0013,1,1,1
427409,599830.199999999,1,1,1
427218.4,597994.199999999,1,1,1
427277.4,598000.699999999,1,1,1
427358.7,598009.5,1,1,1
428430.7,594880.300000001,1,1,1
430284.3,592656.300000001,1,1,1
430071.6,591995,1,1,1
430427.1082,591168.9433,1,1,1
430433.1966,591003.396299999,1,1,1
430579.0814,590815.8193,1,1,1
430756.1,590404.5,1,1,1
431255.8,589537.800000001,1,1,1
431807.2774,589236.619100001,1,1,1
431814.9469,589226.7577,1,1,1
431605.4,588813.6,1,1,1
431998.6,588019.699999999,1,1,1
431229.3782,587797.8057,1,1,1
431205.7011,587798.2038,1,1,1
431202.9782,587790.190199999,1,1,1
431131.6,587769.6,1,1,1
431125.1747,587561.2093,1,1,1
431025.0024,587266.396,1,1,1
431113.1917,587172.570900001,1,1,1
431102.7,586832.300000001,1,1,1
430866.5969,586401.058800001,1,1,1
430584.1967,585984.502900001,1,1,1
430590.6344,585897.014799999,1,1,1
430356.9,585470.1,1,1,1
429519.7,585431.800000001,1,1,1
429402.175,585344.125,1,1,1
430367.6,585234.5,1,1,1
430726.7459,584047.2707,1,1,1
430730.901,583990.8036,1,1,1
430760.3001,583936.3506,1,1,1
430939.4,583344.300000001,1,1,1
431572.0287,582432.8703,1,1,1
431632.1027,582321.601399999,1,1,1
431661.23,582304.3577,1,1,1
432129.9994,581629.000600001,1,1,1
430571.3,583350.699999999,1,1,1
430568.9,583031.6,1,1,1
429858.9,582847.300000001,1,1,1
428594.3903,583469.3597,1,1,1
429808.2,582683.699999999,1,1,1
428219.2104,582331.384500001,1,1,1
428232.4396,582259.946900001,1,1,1
429267.9,582275.699999999,1,1,1
429183.7,582084.800000001,1,1,1
429761.1,582405,1,1,1
430204.3,582632.800000001,1,1,1
431055.3,582252.5,1,1,1
431687.2,581779.9,1,1,1
432157.1989,581312.4003,1,1,1
432134.3,580488.6,1,1,1
432270.8,580971.199999999,1,1,1
432440.1,580655.1,1,1,1
432128.1177,579999.999600001,1,1,1
432090.4,579920.800000001,1,1,1
432349,578780.800000001,1,1,1
433020.6448,577800.054099999,1,1,1
433468.3026,577103.495100001,1,1,1
433502.4334,577096.539000001,1,1,1
433693.1602,576818.036800001,1,1,1
433477.6,576750.5,1,1,1
433398.0873,576227.900900001,1,1,1
433430.2788,576223.3847,1,1,1
433508.5,576718.9,1,1,1
433707.6504,576788.818700001,1,1,1
433854.4,576904.6,1,1,1
434006.9412,576596.9977,1,1,1
434034.1034,576332.695699999,1,1,1
434166.66,576274.921599999,1,1,1
434452.1819,575699.1612,1,1,1
434465.8,575671.699999999,1,1,1
434847.7275,575403.0678,1,1,1
434829.1004,575286.7951,1,1,1
434945.1017,575334.5787,1,1,1
435132.6,575202.699999999,1,1,1
434900.8,574542,1,1,1
435207.6,573377.4,1,1,1
435509.2074,572779.489600001,1,1,1
435985.4937,572349.160800001,1,1,1
436009.3974,572312.4965,1,1,1
436038.0134,572301.708799999,1,1,1
436408.8,571966.699999999,1,1,1
436480.4,571546,1,1,1
436503.6683,571265.328500001,1,1,1
436485.3023,571222.898399999,1,1,1
436508.0424,571212.5667,1,1,1
436541.3,570811.4,1,1,1
437202.3,569518.199999999,1,1,1
438263.7329,569055.9552,1,1,1
437974.6999,569124.5627,1,1,1
437361.1,569279.699999999,1,1,1
437383.4084,569126.3982,1,1,1
437378.6455,569024.34,1,1,1
436560.1,568889.300000001,1,1,1
435848.1,568186,1,1,1
435219.6,566995.800000001,1,1,1
435370.7,566636.300000001,1,1,1
434875.9,566133.9,1,1,1
433896.1,566190.1,1,1,1
433993.1,566399.9,1,1,1
433245.1,566083.300000001,1,1,1
431979.1,566105.4,1,1,1
431782.5,566521.4,1,1,1
431903.2454,566180.614399999,1,1,1
431922.1,566127.4,1,1,1
430577.2,565951.199999999,1,1,1
430135.8147,565600.831,1,1,1
430122.8,565590.5,1,1,1
429859.5797,564865.7974,1,1,1
429504.1,563248,1,1,1
428656,562909,1,1,1
427920.1,563413.1,1,1,1
427165.9366,563537.9286,1,1,1
426946.8,563574.199999999,1,1,1
426829.7067,563701.830399999,1,1,1
426473.4763,564090.1175,1,1,1
425962.6993,564121.5988,1,1,1
425290.9,563822.300000001,1,1,1
425364.0289,563721.099300001,1,1,1
425710.4979,563853.1031,1,1,1
426076.7245,563992.634500001,1,1,1
426084.5,563997.6,1,1,1
426088.0716,563995.0941,1,1,1
427052.4,563318.5,1,1,1
427591.5537,563330.453400001,1,1,1
427742.5,563333.800000001,1,1,1
428043.4351,563110.175100001,1,1,1
428365.7,562870.699999999,1,1,1
428759.7,562690.6,1,1,1
429667.5,562987.9,1,1,1
429911.357,563459.914999999,1,1,1
429923.8,563484,1,1,1
430119.798,564958.853,1,1,1
430157.3555,565241.4674,1,1,1
430177.4477,565256.6414,1,1,1
430854.534,565767.9893,1,1,1
431685,565828.699999999,1,1,1
433287.7,565816.6,1,1,1
433867.2,565862.800000001,1,1,1
433993.3678,565195.4355,1,1,1
433926.959,565131.885600001,1,1,1
434000.8986,565155.601299999,1,1,1
434368.814,565076.323000001,1,1,1
434046.0217,565184.8024,1,1,1
433898.3,565853.699999999,1,1,1
434351.9,565596.800000001,1,1,1
435353.2,565780.1,1,1,1
435699.9,566649.5,1,1,1
435931.2,567848,1,1,1
436615.1,568232.300000001,1,1,1
436948.4767,568327.9493,1,1,1
437284.4,567786.199999999,1,1,1
437691.6999,568115.3247,1,1,1
437708.8615,568066.6993,1,1,1
437563.5319,567936.3158,1,1,1
437785.1,567303,1,1,1
438913.2,566121.199999999,1,1,1
439695.0008,565862.8268,1,1,1
439728.8476,565659.950999999,1,1,1
439721.4,565248.9,1,1,1
439999.9997,565038.1019,1,1,1
441021.5,564265.199999999,1,1,1
441290.9,563585.1,1,1,1
441441.3019,563023.0998,1,1,1
441443.8867,562573.948899999,1,1,1
440842.3,561235.1,1,1,1
440841.9049,561227.876,1,1,1
440807.5492,560599.6888,1,1,1
440717.6983,560542.795499999,1,1,1
440772.8587,559965.3786,1,1,1
440763.3,559790.6,1,1,1
440829.8432,559368.866,1,1,1
440847.3024,559186.1039,1,1,1
440859.9158,559178.273700001,1,1,1
440906.9,558880.5,1,1,1
441025.9518,558850.5145,1,1,1
441022.6387,558830.134,1,1,1
440899.7,558856.699999999,1,1,1
440996.9086,558671.856000001,1,1,1
440969.2964,558501.9997,1,1,1
441009.7505,558366.989399999,1,1,1
440746.2,558254.5,1,1,1
440640.7,558524.800000001,1,1,1
440424.8,557623.300000001,1,1,1
440000.0152,557525.786699999,1,1,1
439655.5,557446.699999999,1,1,1
439169.8,557646.699999999,1,1,1
438827.1,558303,1,1,1
438241.1,557885.5,1,1,1
437669.7,558238.6,1,1,1
436727.6,558145.300000001,1,1,1
435431.5003,557433.699200001,1,1,1
434826.8,556785.300000001,1,1,1
434872.3001,556721.800000001,1,1,1
435194.6199,557048.470799999,1,1,1
435482.6983,557333.4987,1,1,1
436003.3,557567.699999999,1,1,1
437184.4,558125.800000001,1,1,1
438186.6,557780.800000001,1,1,1
438860.8,558156.199999999,1,1,1
439075.8,557591.199999999,1,1,1
439664.6,557371.5,1,1,1
440000.0152,557381.2755,1,1,1
440357.7,557391.699999999,1,1,1
441045.2346,558248.5658,1,1,1
441147.1011,557908.5996,1,1,1
441238.6048,558024.4592,1,1,1
441306.6856,557943.224099999,1,1,1
441216.6985,557775.3991,1,1,1
441407.388,557493.4794,1,1,1
441752.4004,556983.399700001,1,1,1
